node,adj nodes
419071151,"[419070816, 419070108, 419070896, 419071326]"
419070896,"[419071151, 419071825, 419071474, 419070966]"
419070194,"[419070809, 419070108, 419071326, 419070667]"
419071326,"[419071151, 419070966, 419070194, 419071056]"
419070966,"[419070697, 419070896, 419071326, 419071380]"
419039595,"[419039595, 419039785, 419039697]"
419039785,"[419039595, 419039415, 419039338]"
419039651,"[419039619, 419039944, 559661263]"
419039944,"[419039619, 419039874, 419039651, 419039930]"
419070502,"[419075103, 419070364, 419075202, 419070429]"
419075310,[419070364]
419070511,"[419070451, 419070511, 419075116]"
419070685,[419070511]
419070606,"[419070451, 419070539, 419070606]"
419070211,[419070606]
419039338,"[419039352, 419039785, 419039415]"
419039352,"[419039352, 419039415, 419039338]"
419039930,"[419039845, 419040127, 419039944, 419039899]"
419040127,"[419040127, 419039882, 565575662, 419039930, 419039874]"
419040932,[419040127]
419069852,"[419069804, 419069853, 419069909, 419069820]"
419069804,"[419069793, 419069820, 419069775, 419069971]"
419067665,"[419067549, 419067758, 419068050, 419068430]"
419068430,"[419067665, 419068484, 419068603]"
419068603,"[419072146, 419072393, 419068579, 419068430]"
419072146,"[419068603, 419072680, 419072235, 419068344]"
419072680,"[419071458, 419072146, 419071704]"
419071704,"[419071363, 419072528, 419072680]"
419071363,"[1277935955, 419071704, 419071531, 419071926]"
419071926,"[419071363, 419070754, 1082199100, 419070736, 419071676]"
419077657,"[419077893, 419078069, 419077810, 419077359]"
419077893,"[419077657, 419077893, 419078069]"
419078069,"[419073113, 419072889, 419078144, 419077893, 419077924]"
419067643,"[1086155518, 419070078, 419067638, 419072629, 419067555]"
419067638,"[419067643, 419067622, 419072541, 419069477]"
419067622,"[419067638, 419071702, 419067555, 419069568]"
419067555,"[419071497, 419067755, 419072393, 419067622, 419068581]"
419071411,"[419071458, 419071529, 419072051, 419072680]"
419071458,"[419071411, 419070754, 419072680, 560537370]"
419068394,"[419068538, 419068333, 419068142]"
419068538,"[419068504, 419068394, 419068530]"
419067597,"[419067589, 419068430, 419067995, 4061333627]"
419067589,"[419067775, 419067973, 419067662, 419067597]"
419067775,"[419068504, 419067589, 419067649, 419067738]"
419067738,"[419067775, 419067578, 419067715, 419068530]"
419067715,"[419068416, 419068508, 419067541, 419067738]"
419068508,"[419068624, 419067715, 419067800, 419068484]"
419068484,"[419067758, 419068508, 419068579, 419068430]"
419067758,"[419067800, 419067665, 419068484]"
419067800,"[419067566, 419067758, 419068508, 419067541]"
419067541,"[419067800, 419067578, 419067715, 419067655]"
419067578,"[419067541, 419067649, 419067944, 419067738]"
419067649,"[419067775, 419067578, 419067997, 419067973]"
419067973,"[419067589, 419068049, 419067649, 419067995]"
419067995,"[419067973, 419068050, 419067833, 419067597]"
419068050,"[419067891, 419067995]"
419068008,[419067665]
419068333,"[419072510, 419068416, 419068394, 419068007]"
419068416,"[419068624, 419067715, 419068333, 419068530]"
